City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,santa ana,33.7456,-117.8678,40.23,57,20,4.12,US,1690228639
115,mount pearl,47.5166,-52.7813,25.25,80,75,7.72,CA,1690228882
116,bikenibeu village,1.3673,173.1241,24.98,100,20,0.0,KI,1690228882
117,ciudad melchor muzquiz,27.8833,-101.5167,36.38,29,5,5.77,MX,1690228883
118,achit,56.7985,57.8994,13.02,95,79,2.35,RU,1690228883
119,iqaluit,63.7506,-68.5145,7.85,75,75,3.6,CA,1690228884
120,ribeira grande,38.5167,-28.7,23.76,83,75,5.36,PT,1690228884
121,amungan,15.3652,119.9582,27.17,88,100,2.62,PH,1690228884
122,kendari,-3.945,122.4989,21.81,94,61,1.66,ID,1690228885
123,georgetown,5.4112,100.3354,27.96,84,20,1.03,MY,1690228854
124,vernal,40.4555,-109.5287,34.25,20,87,0.89,US,1690228885
125,kruisfontein,-34.0033,24.7314,6.6,77,0,2.97,ZA,1690228886
126,port elizabeth,-33.918,25.5701,9.16,81,0,4.12,ZA,1690228821
127,nabire,-3.3667,135.4833,24.29,90,98,2.46,ID,1690228887
128,east ballina,-28.8667,153.5833,9.33,68,17,1.89,AU,1690228847
129,sho'rchi,38.0141,67.7899,31.12,18,31,1.44,UZ,1690228888
130,kill devil hills,36.0307,-75.676,28.0,75,75,3.6,US,1690228810
131,greymouth,-42.4667,171.2,6.91,87,83,0.69,NZ,1690228888
132,caleta de carquin,-11.0925,-77.6267,21.67,72,9,5.53,PE,1690228889
133,la passe,45.5549,-0.8967,20.13,78,56,7.16,FR,1690228889
134,hawaiian paradise park,19.5933,-154.9731,27.63,84,93,0.45,US,1690228890
135,ust'-ilimsk,58.0006,102.6619,16.9,95,100,1.68,RU,1690228605
136,kalyazin,57.2403,37.8433,12.23,99,99,2.57,RU,1690228891
137,hithadhoo,-0.6,73.0833,28.27,78,100,6.83,MV,1690228891
138,nar'yan-mar,67.6713,53.087,16.21,74,100,2.19,RU,1690228892
139,castro,-24.7911,-50.0119,19.27,63,65,0.46,BR,1690228892
140,pyt-yakh,60.7499,72.8582,15.6,92,98,1.37,RU,1690228892
141,porto torres,40.835,8.3972,30.1,66,91,2.27,IT,1690228893
142,nemuro,43.3236,145.575,16.61,94,100,6.24,JP,1690228697
143,susuman,62.7833,148.1667,13.69,61,25,1.29,RU,1690228618
144,lihue,21.9789,-159.3672,27.98,71,62,5.37,US,1690228894
145,st. john's,47.5649,-52.7093,25.71,86,75,7.72,CA,1690228625
146,ujae,8.9322,165.7642,28.62,78,100,7.89,MH,1690228894
147,tiksi,71.6872,128.8694,3.69,82,22,2.2,RU,1690228895
148,tuscaloosa,33.2098,-87.5692,33.38,46,0,2.57,US,1690228697
149,jumla,29.2747,82.1838,17.29,97,99,0.63,NP,1690228895
150,vorgashor,67.5833,63.95,16.07,73,100,1.5,RU,1690228895
151,lewiston orchards,46.3804,-116.9754,33.61,23,0,4.12,US,1690228896
152,alofi,-19.0595,-169.9187,21.94,73,40,2.57,NU,1690228896
153,stanley,54.868,-1.6985,12.93,80,75,1.03,GB,1690228896
154,bardai,11.65,7.2333,24.88,70,28,3.08,NG,1690228897
155,khandyga,62.6667,135.6,17.12,84,50,1.86,RU,1690228599
156,channagiri,14.0333,75.9333,20.86,90,100,7.2,IN,1690228898
157,lompoc,34.6391,-120.4579,35.43,69,40,3.6,US,1690228898
158,xiva,41.3783,60.3639,27.99,17,4,4.17,UZ,1690228898
159,crane,31.3974,-102.3501,38.2,16,0,6.03,US,1690228899
160,olmos,-5.9847,-79.7453,31.44,40,14,4.82,PE,1690228899
161,minas de marcona,-15.2119,-75.1103,17.85,57,0,6.27,PE,1690228899
162,massaguet,12.4755,15.4365,29.67,55,45,3.77,TD,1690228900
163,tarauaca,-8.1614,-70.7656,34.85,31,34,0.5,BR,1690228900
164,kirensk,57.7853,108.1119,16.62,79,47,0.84,RU,1690228900
165,korla,41.7597,86.1469,28.06,33,100,5.91,CN,1690228901
166,sola,-13.8833,167.55,25.78,86,94,6.29,VU,1690228901
167,mount gambier,-37.8333,140.7667,9.08,80,85,0.74,AU,1690228901
168,aden,12.7794,45.0367,30.83,71,100,5.3,YE,1690228902
169,selfoss,63.9331,-20.9971,15.02,84,56,3.92,IS,1690228624
170,tsiombe,-25.3,45.4833,16.55,90,58,1.69,MG,1690228902
171,santa cruz,-17.8,-63.1667,28.7,51,75,6.17,BO,1690228902
172,plettenberg bay,-34.0527,23.3716,9.87,72,0,2.47,ZA,1690228903
173,kodiak,57.79,-152.4072,12.66,85,100,4.61,US,1690228903
174,alton north (historical),26.2953,-98.3045,38.26,55,0,2.57,US,1690228903
175,qamdo,31.1667,97.2333,5.75,92,100,2.05,CN,1690228904
176,magadan,59.5667,150.8,14.54,63,13,1.96,RU,1690228904
177,talnakh,69.4865,88.3972,13.45,72,85,0.84,RU,1690228904
178,howard springs,-12.497,131.047,15.95,50,10,3.63,AU,1690228905
179,lobva,59.1854,60.5185,13.84,74,39,0.87,RU,1690228905
180,banda aceh,5.5577,95.3222,26.85,71,77,5.87,ID,1690228636
181,mahanoro,-19.9,48.8,19.35,92,15,2.18,MG,1690228906
182,ketchikan,55.3422,-131.6461,15.99,62,97,2.08,US,1690228906
183,diamantino,-14.4086,-56.4461,34.46,19,0,1.02,BR,1690228906
184,linhares,-19.3911,-40.0722,22.36,75,0,3.01,BR,1690228907
185,rundu,-17.9333,19.7667,16.76,22,99,2.66,NA,1690228907
186,san patricio,28.017,-97.5169,36.21,37,9,7.42,US,1690228907
187,chabahar,25.2919,60.643,29.88,75,100,1.18,IR,1690228908
188,wanning,18.8003,110.3967,26.75,83,99,0.83,CN,1690228908
189,prince george,53.9166,-122.753,17.69,77,75,1.54,CA,1690228900
190,sint michiel liber,12.15,-68.9833,31.9,66,20,7.2,CW,1690228909
191,carnarvon,-24.8667,113.6333,15.47,81,5,5.58,AU,1690228909
192,dongsheng,39.8161,109.9776,22.27,44,5,4.92,CN,1690228910
193,qaqortoq,60.7167,-46.0333,6.96,87,80,3.58,GL,1690228910
194,ta`u,-14.2336,-169.5144,25.87,73,93,5.71,AS,1690228911
195,quellon,-43.1167,-73.6167,9.14,87,100,11.32,CL,1690228911
196,nuku'alofa,-21.1333,-175.2,16.19,94,20,1.03,TO,1690228911
197,rabaul,-4.1967,152.1721,25.99,81,97,7.76,PG,1690228912
198,weno,7.4515,151.8468,28.24,77,100,7.85,FM,1690228912
199,katsuura,35.1333,140.3,24.62,91,22,3.31,JP,1690228912
200,gizo,-8.103,156.8419,26.3,84,100,7.43,SB,1690228913
201,nantucket,41.2835,-70.0995,26.72,83,0,4.63,US,1690228831
202,jarabulus,36.8175,38.0111,32.19,28,0,12.4,SY,1690228913
203,zdvinsk,54.7021,78.661,15.53,84,0,0.38,RU,1690228914
204,salym,60.0625,71.4789,14.81,98,100,1.72,RU,1690228914
205,lebu,-37.6167,-73.65,10.71,88,100,8.6,CL,1690228914
206,shingu,33.7333,135.9833,22.96,89,0,1.69,JP,1690228915
207,iskateley,67.6803,53.1512,16.17,74,100,2.26,RU,1690228915
208,sao jose da coroa grande,-8.8978,-35.1478,24.08,81,10,4.25,BR,1690228915
209,itaituba,-4.2761,-55.9836,36.09,32,20,2.57,BR,1690228916
210,thunder bay,48.4001,-89.3168,24.95,38,75,3.09,CA,1690228809
211,yanam,16.7333,82.2167,25.27,94,100,3.74,IN,1690228916
212,opuwo,-18.0607,13.84,19.81,28,4,1.41,NA,1690228916
213,arraial do cabo,-22.9661,-42.0278,23.98,73,0,9.26,BR,1690228917
214,whakatane,-37.9585,176.9854,7.65,99,19,2.38,NZ,1690228917
215,dalmatovo,56.26,62.9362,15.35,78,12,2.55,RU,1690228918
216,porto novo,6.4965,2.6036,24.9,91,100,2.32,BJ,1690228918
217,ondjiva,-17.0667,15.7333,18.14,24,9,1.9,AO,1690228918
218,kirakira,-10.4544,161.9205,25.45,87,11,1.51,SB,1690228919
219,kattivakkam,13.2167,80.3167,26.05,94,100,7.76,IN,1690228919
220,namibe,-15.1961,12.1522,18.42,81,100,3.1,AO,1690228919
221,new norfolk,-42.7826,147.0587,9.72,85,98,1.63,AU,1690228920
222,dunedin,-45.8742,170.5036,6.56,97,28,1.34,NZ,1690228920
223,hericourt,47.5731,6.7614,19.59,93,94,1.83,FR,1690228920
224,savanna-la-mar,18.219,-78.1332,31.97,64,57,1.98,JM,1690228921
225,pandan,14.0453,124.1694,26.83,89,100,8.93,PH,1690228924
226,ulanhot,46.0833,122.0833,18.99,87,100,0.95,CN,1690228925
227,port mathurin,-19.6833,63.4167,23.15,77,45,8.0,MU,1690228927
228,klyuchi,52.2667,79.1667,19.5,59,16,3.76,RU,1690228928
229,moldava nad bodvou,48.6143,20.9996,26.08,61,0,4.12,SK,1690228928
230,sitka,57.0531,-135.33,18.99,62,76,2.69,US,1690228935
231,watsa,3.0372,29.5355,18.65,93,75,0.74,CD,1690228939
232,tougue,11.4667,-11.6,21.09,94,99,1.02,GN,1690228940
233,mogocha,53.7333,119.7667,14.64,95,96,0.94,RU,1690228941
234,tamuin,21.9833,-98.75,23.64,97,100,2.83,MX,1690228941
235,geraldton,-28.7667,114.6,10.23,66,3,5.14,AU,1690228681
236,uturoa,-16.7333,-151.4333,26.68,82,18,6.4,PF,1690228942
237,cockburn town,21.4612,-71.1419,30.98,58,40,5.14,TC,1690228942
238,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,5.91,EC,1690228943
239,lupane,-18.9315,27.807,14.99,27,0,2.39,ZW,1690228943
240,margaret river,-33.95,115.0667,16.58,80,11,8.96,AU,1690228944
241,al jawf,29.5,38.75,31.84,13,0,4.76,SA,1690228944
242,saint-philippe,-21.3585,55.7679,19.77,84,38,3.63,RE,1690228944
243,portrush,55.1959,-6.6493,13.93,77,94,3.13,GB,1690228945
244,tsiroanomandidy,-18.7667,46.0333,19.27,54,67,0.36,MG,1690228945
245,dhidhdhoo,6.8833,73.1,27.87,81,82,5.69,MV,1690228946
246,cabo san lucas,22.8909,-109.9124,35.34,70,13,1.79,MX,1690228816
247,basse-terre,16.1667,-61.6667,30.58,62,75,9.26,GP,1690228809
248,tazacorte,28.629,-17.9293,23.54,84,20,6.69,ES,1690228947
249,woolgoolga,-30.1106,153.2007,12.93,86,46,5.7,AU,1690228947
250,kaliua,-5.0606,31.7936,21.81,38,0,1.99,TZ,1690228947
251,preobrazheniye,42.9019,133.9064,19.37,99,97,2.74,RU,1690228948
252,bom jesus,-9.0744,-44.3586,32.93,20,16,4.28,BR,1690228859
253,creel,27.75,-107.6333,27.85,22,9,7.42,MX,1690228948
254,west island,-12.1568,96.8225,24.99,78,40,9.26,CC,1690228949
255,kulachi,31.9286,70.4592,33.69,55,90,3.9,PK,1690228949
256,talara,-4.5772,-81.2719,28.42,54,0,9.26,PE,1690228949
257,colonia,50.9333,6.95,17.7,85,20,2.57,DE,1690228933
258,penhalonga,-18.8911,32.6978,12.19,60,0,1.37,ZW,1690228950
259,hammerfest,70.6634,23.6821,11.25,87,75,3.09,NO,1690228791
260,tetouan,35.5711,-5.3724,27.43,54,0,8.75,MA,1690228951
261,sinop,41.7711,34.8709,15.49,90,0,1.47,TR,1690228951
262,laholm,56.5121,13.0437,18.03,96,58,1.76,SE,1690228952
263,cayeli,41.0923,40.7292,22.45,83,9,2.53,TR,1690228952
264,sisimiut,66.9395,-53.6735,9.0,75,55,6.81,GL,1690228952
265,amuntai,-2.4177,115.2494,22.27,96,69,0.41,ID,1690228953
266,huaidian,33.4333,115.0333,27.55,78,97,1.59,CN,1690228953
267,palasa,18.7667,84.4167,26.43,89,78,3.49,IN,1690228954
268,port augusta,-32.5,137.7667,7.56,87,0,2.5,AU,1690228954
269,holualoa,19.6228,-155.9522,27.53,81,42,0.89,US,1690228954
270,la punta,-33.1837,-66.3127,15.19,28,0,1.44,AR,1690228955
271,reggane,26.7158,0.1714,41.7,8,71,4.82,DZ,1690228955
272,hadibu,12.65,54.0333,25.09,79,56,8.24,YE,1690228955
273,kavieng,-2.5744,150.7967,27.06,80,100,4.88,PG,1690228956
274,axim,4.8699,-2.2405,24.68,89,100,2.25,GH,1690228956
275,utrik,11.2278,169.8474,28.33,77,87,7.47,MH,1690228957
276,bodo,67.28,14.405,15.43,88,75,2.57,NO,1690228957
277,sandusky,41.3501,-83.1332,29.99,48,4,2.06,US,1690228671
278,bremen,53.0752,8.8078,15.89,90,75,8.23,DE,1690228837
279,flying fish cove,-10.4217,105.6791,23.82,94,100,3.6,CX,1690228958
280,usinsk,65.9939,57.5281,14.23,81,8,3.36,RU,1690228958
281,callao,-12.0667,-77.15,24.16,53,20,5.66,PE,1690228941
282,brookhaven,31.5791,-90.4407,33.17,31,0,1.3,US,1690228959
283,revda,56.801,59.9303,12.47,94,33,1.63,RU,1690228959
284,keflavik,64.0049,-22.5624,12.24,76,100,4.12,IS,1690228960
285,lautoka,-17.6167,177.4667,22.92,83,100,1.54,FJ,1690228960
286,galle,6.0367,80.217,25.8,88,99,3.59,LK,1690228960
287,bandarbeyla,9.4942,50.8122,24.88,73,65,15.1,SO,1690228961
288,kolondieba,11.0882,-6.8926,23.28,92,99,1.29,ML,1690228961
289,ceeldheer,3.8488,47.1806,24.84,80,32,9.08,SO,1690228961
290,yuzhno-kurilsk,44.0306,145.8556,17.37,100,100,2.62,RU,1690228962
291,ryotsu-minato,38.0833,138.4333,25.26,79,1,1.76,JP,1690228962
292,kiunga,-6.1219,141.2906,20.99,98,100,0.86,PG,1690228962
293,at taj,24.2049,23.2857,32.23,15,3,3.64,LY,1690228963
294,novyy urgal,51.0736,132.5642,17.87,99,100,0.66,RU,1690228963
295,verkhniy baskunchak,48.2256,46.7217,25.4,48,100,3.5,RU,1690228963
296,whitehorse,60.7161,-135.0538,16.12,82,75,2.57,CA,1690228964
297,sheridan,44.8333,-106.9173,36.68,27,0,0.89,US,1690228964
298,naze,28.3667,129.4833,27.51,83,100,5.18,JP,1690228964
299,saipan,15.1355,145.701,27.58,100,100,5.31,MP,1690228965
300,yung shue wan,22.2333,114.1167,29.76,82,73,2.77,HK,1690228965
301,ladario,-19.0047,-57.6017,32.16,35,20,3.6,BR,1690228965
302,horovice,49.836,13.9027,21.61,72,100,6.07,CZ,1690228965
303,bridgewater,44.3835,-64.5155,30.06,58,85,9.26,CA,1690228966
304,brookings,44.3114,-96.7984,31.77,42,0,6.17,US,1690228842
305,salalah,17.0151,54.0924,25.48,93,100,2.0,OM,1690228966
306,aasiaat,68.7098,-52.8699,3.68,95,98,2.8,GL,1690228967
307,port saint john's,-31.6229,29.5448,14.57,64,25,2.83,ZA,1690228967
308,hengchun,22.0042,120.7439,28.44,77,79,7.12,TW,1690228967
309,colac,-38.3333,143.5833,9.54,87,95,0.87,AU,1690228968
310,kapa'a,22.0752,-159.319,28.39,70,82,1.79,US,1690228968
311,campeche,19.0,-90.5,39.02,24,7,3.36,MX,1690228968
312,chemolgan,43.1897,76.5292,21.81,33,48,3.16,KZ,1690228968
313,gebeit,21.0667,36.3167,33.3,12,48,1.58,SD,1690228969
314,saint-joseph,-21.3667,55.6167,19.21,83,34,3.42,RE,1690228969
315,punta cardon,11.6581,-70.215,29.14,64,79,15.17,VE,1690228540
316,tobol'sk,58.2,68.2667,13.34,97,74,2.71,RU,1690228970
317,urengoy,65.9667,78.3667,18.65,61,6,0.4,RU,1690228970
318,mormugao,15.4,73.8,26.59,89,100,4.12,IN,1690228970
319,westport,41.1415,-73.3579,30.99,56,0,4.63,US,1690228971
320,midvagur,62.0511,-7.1939,8.46,87,100,4.63,FO,1690228971
321,presidente medici,-11.1753,-61.9014,35.48,20,0,0.37,BR,1690228971
322,atafu village,-8.5421,-172.5159,28.93,70,13,7.87,TK,1690228972
323,vila do maio,15.1333,-23.2167,27.44,78,96,5.26,CV,1690228972
324,vorkuta,67.5,64.0,16.01,74,100,1.0,RU,1690228972
325,sao joao da barra,-21.6403,-41.0511,26.05,79,0,5.41,BR,1690228973
326,kibre mengist,5.8833,38.9833,15.17,96,99,1.02,ET,1690228973
327,kusong,39.9811,125.2447,21.01,96,4,0.94,KP,1690228973
328,uusikaupunki,60.8004,21.4084,14.79,77,23,2.36,FI,1690228973
329,potosi,-19.5836,-65.7531,15.48,23,0,5.14,BO,1690228974
330,chui,-33.6971,-53.4616,9.12,93,100,5.42,UY,1690228974
331,isafjordur,66.0755,-23.124,10.26,93,100,2.46,IS,1690228974
332,chadron,42.8294,-102.9999,32.86,40,0,2.06,US,1690228975
333,kenora,49.8167,-94.4337,25.54,36,20,4.63,CA,1690228697
334,bozkurt,41.9577,34.0109,20.17,80,2,2.38,TR,1690228975
335,pathein,16.7833,94.7333,25.72,90,93,3.1,MM,1690228976
336,badger,64.8,-147.5333,28.62,56,40,1.54,US,1690228976
337,mejit,10.2753,170.8646,28.3,77,96,8.01,MH,1690228976
338,northam,51.0333,-4.2167,16.45,76,14,5.08,GB,1690228977
339,ormara,25.2088,64.6357,28.3,91,95,7.02,PK,1690228977
340,north platte,41.1239,-100.7654,35.6,41,59,1.34,US,1690228807
341,batie,9.8833,-2.9167,23.14,95,100,1.82,BF,1690228978
342,banamba,13.55,-7.45,30.76,48,100,1.37,ML,1690228978
343,qujing,25.4833,103.7833,16.14,94,70,1.7,CN,1690228832
344,ain sefra,32.75,-0.5833,33.46,14,61,2.76,DZ,1690228978
